name,start,end,approve,disprove,unsure
Barack Obama,11/21/2014 ,11/23/2014 ,43,52,5
Barack Obama,11/20/2014 ,11/22/2014 ,42,54,4
Barack Obama,11/19/2014 ,11/21/2014 ,41,55,4
Barack Obama,11/18/2014 ,11/20/2014 ,41,54,5
Barack Obama,11/17/2014 ,11/19/2014 ,42,53,5
Barack Obama,11/16/2014 ,11/18/2014 ,42,52,6
Barack Obama,11/15/2014 ,11/17/2014 ,43,51,6
Barack Obama,11/14/2014 ,11/16/2014 ,44,51,5
Barack Obama,11/13/2014 ,11/15/2014 ,44,51,5
Barack Obama,11/12/2014 ,11/14/2014 ,42,53,5
Barack Obama,11/11/2014 ,11/13/2014 ,42,52,6
Barack Obama,11/10/2014 ,11/12/2014 ,41,53,6
Barack Obama,11/09/2014 ,11/11/2014 ,42,52,6
Barack Obama,11/08/2014 ,11/10/2014 ,39,56,5
Barack Obama,11/07/2014 ,11/09/2014 ,40,55,5
Barack Obama,11/06/2014 ,11/08/2014 ,39,56,5
Barack Obama,11/05/2014 ,11/07/2014 ,40,55,5
Barack Obama,11/04/2014 ,11/06/2014 ,41,54,5
Barack Obama,11/03/2014 ,11/05/2014 ,41,53,6
Barack Obama,11/02/2014 ,11/04/2014 ,43,51,6
Barack Obama,11/01/2014 ,11/03/2014 ,42,53,5
Barack Obama,10/30/2014 ,11/02/2014 ,41,54,5
Barack Obama,10/29/2014 ,11/01/2014 ,40,54,6
Barack Obama,10/28/2014 ,10/30/2014 ,41,54,5
Barack Obama,10/27/2014 ,10/29/2014 ,43,52,5
Barack Obama,10/26/2014 ,10/28/2014 ,42,53,5
Barack Obama,10/25/2014 ,10/27/2014 ,42,53,5
Barack Obama,10/24/2014 ,10/26/2014 ,42,52,6
Barack Obama,10/23/2014 ,10/25/2014 ,43,52,5
Barack Obama,10/22/2014 ,10/24/2014 ,43,53,4
Barack Obama,10/21/2014 ,10/23/2014 ,42,54,4
Barack Obama,10/20/2014 ,10/22/2014 ,40,54,6
Barack Obama,10/19/2014 ,10/21/2014 ,41,54,5
Barack Obama,10/18/2014 ,10/20/2014 ,40,54,6
Barack Obama,10/17/2014 ,10/19/2014 ,40,55,5
Barack Obama,10/16/2014 ,10/18/2014 ,40,55,5
Barack Obama,10/15/2014 ,10/17/2014 ,42,53,5
Barack Obama,10/14/2014 ,10/16/2014 ,43,51,6
Barack Obama,10/13/2014 ,10/15/2014 ,42,52,6
Barack Obama,10/12/2014 ,10/14/2014 ,40,55,5
Barack Obama,10/11/2014 ,10/13/2014 ,41,54,5
Barack Obama,10/10/2014 ,10/12/2014 ,42,53,5
Barack Obama,10/09/2014 ,10/11/2014 ,42,54,4
Barack Obama,10/08/2014 ,10/10/2014 ,39,57,4
Barack Obama,10/07/2014 ,10/09/2014 ,39,56,5
Barack Obama,10/06/2014 ,10/08/2014 ,40,55,5
Barack Obama,10/05/2014 ,10/07/2014 ,44,51,5
Barack Obama,10/04/2014 ,10/06/2014 ,44,50,6
Barack Obama,10/03/2014 ,10/05/2014 ,44,50,6
Barack Obama,10/02/2014 ,10/04/2014 ,42,53,5
Barack Obama,10/01/2014 ,10/03/2014 ,41,55,4
Barack Obama,09/30/2014 ,10/02/2014 ,42,54,4
Barack Obama,09/29/2014 ,10/01/2014 ,42,54,4
Barack Obama,09/28/2014 ,09/30/2014 ,44,52,4
Barack Obama,09/27/2014 ,09/29/2014 ,43,52,5
Barack Obama,09/26/2014 ,09/28/2014 ,43,52,5
Barack Obama,09/24/2014 ,09/26/2014 ,42,53,5
Barack Obama,09/23/2014 ,09/25/2014 ,42,52,6
Barack Obama,09/22/2014 ,09/24/2014 ,42,53,5
Barack Obama,09/21/2014 ,09/23/2014 ,44,51,5
Barack Obama,09/20/2014 ,09/22/2014 ,44,51,5
Barack Obama,09/19/2014 ,09/21/2014 ,45,50,5
Barack Obama,09/18/2014 ,09/20/2014 ,42,53,5
Barack Obama,09/17/2014 ,09/19/2014 ,40,55,5
Barack Obama,09/16/2014 ,09/18/2014 ,42,53,5
Barack Obama,09/15/2014 ,09/17/2014 ,42,53,5
Barack Obama,09/14/2014 ,09/16/2014 ,43,53,4
Barack Obama,09/13/2014 ,09/15/2014 ,41,55,4
Barack Obama,09/12/2014 ,09/14/2014 ,41,54,5
Barack Obama,09/11/2014 ,09/13/2014 ,41,54,5
Barack Obama,09/10/2014 ,09/12/2014 ,40,54,6
Barack Obama,09/09/2014 ,09/11/2014 ,41,54,5
Barack Obama,09/08/2014 ,09/10/2014 ,40,54,6
Barack Obama,09/07/2014 ,09/09/2014 ,42,52,6
Barack Obama,09/06/2014 ,09/08/2014 ,42,52,6
Barack Obama,09/05/2014 ,09/07/2014 ,42,53,5
Barack Obama,09/03/2014 ,09/06/2014 ,40,53,7
Barack Obama,09/02/2014 ,09/05/2014 ,38,54,8
Barack Obama,09/01/2014 ,09/03/2014 ,38,54,8
Barack Obama,08/31/2014 ,09/02/2014 ,39,54,7
Barack Obama,08/30/2014 ,09/01/2014 ,42,52,6
Barack Obama,08/29/2014 ,08/31/2014 ,42,51,7
Barack Obama,08/28/2014 ,08/30/2014 ,42,51,7
Barack Obama,08/27/2014 ,08/29/2014 ,41,52,7
Barack Obama,08/26/2014 ,08/28/2014 ,41,53,6
Barack Obama,08/25/2014 ,08/27/2014 ,40,54,6
Barack Obama,08/24/2014 ,08/26/2014 ,41,53,6
Barack Obama,08/23/2014 ,08/25/2014 ,42,51,7
Barack Obama,08/22/2014 ,08/24/2014 ,42,51,7
Barack Obama,08/21/2014 ,08/23/2014 ,40,52,8
Barack Obama,08/20/2014 ,08/22/2014 ,41,53,6
Barack Obama,08/19/2014 ,08/21/2014 ,43,50,7
Barack Obama,08/18/2014 ,08/20/2014 ,44,50,6
Barack Obama,08/17/2014 ,08/19/2014 ,43,51,6
Barack Obama,08/16/2014 ,08/18/2014 ,42,51,7
Barack Obama,08/15/2014 ,08/17/2014 ,41,53,6
Barack Obama,08/14/2014 ,08/16/2014 ,41,53,6
Barack Obama,08/13/2014 ,08/15/2014 ,41,53,6
Barack Obama,08/12/2014 ,08/14/2014 ,42,51,7
Barack Obama,08/11/2014 ,08/13/2014 ,40,53,7
Barack Obama,08/10/2014 ,08/12/2014 ,42,53,5
Barack Obama,08/09/2014 ,08/11/2014 ,41,55,4
Barack Obama,08/08/2014 ,08/10/2014 ,43,52,5
Barack Obama,08/06/2014 ,08/08/2014 ,43,51,6
Barack Obama,08/05/2014 ,08/07/2014 ,44,50,6
Barack Obama,08/04/2014 ,08/06/2014 ,41,53,6
Barack Obama,08/03/2014 ,08/05/2014 ,41,53,6
Barack Obama,08/02/2014 ,08/04/2014 ,42,53,5
Barack Obama,08/01/2014 ,08/03/2014 ,42,53,5
Barack Obama,07/31/2014 ,08/02/2014 ,41,54,5
Barack Obama,07/30/2014 ,08/01/2014 ,42,53,5
Barack Obama,07/29/2014 ,07/31/2014 ,42,53,5
Barack Obama,07/28/2014 ,07/30/2014 ,41,54,5
Barack Obama,07/27/2014 ,07/29/2014 ,39,55,6
Barack Obama,07/26/2014 ,07/28/2014 ,40,54,6
Barack Obama,07/25/2014 ,07/27/2014 ,41,52,7
Barack Obama,07/24/2014 ,07/26/2014 ,40,52,8
Barack Obama,07/23/2014 ,07/25/2014 ,40,53,7
Barack Obama,07/22/2014 ,07/24/2014 ,39,54,7
Barack Obama,07/21/2014 ,07/23/2014 ,42,52,6
Barack Obama,07/20/2014 ,07/22/2014 ,42,51,7
Barack Obama,07/19/2014 ,07/21/2014 ,44,49,7
Barack Obama,07/18/2014 ,07/20/2014 ,44,50,6
Barack Obama,07/17/2014 ,07/19/2014 ,44,52,4
Barack Obama,07/16/2014 ,07/18/2014 ,43,53,4
Barack Obama,07/15/2014 ,07/17/2014 ,42,53,5
Barack Obama,07/14/2014 ,07/16/2014 ,42,52,6
Barack Obama,07/13/2014 ,07/15/2014 ,43,51,6
Barack Obama,07/12/2014 ,07/14/2014 ,44,51,5
Barack Obama,07/11/2014 ,07/13/2014 ,43,52,5
Barack Obama,07/10/2014 ,07/12/2014 ,42,53,5
Barack Obama,07/09/2014 ,07/11/2014 ,42,53,5
Barack Obama,07/08/2014 ,07/10/2014 ,41,55,4
Barack Obama,07/07/2014 ,07/09/2014 ,42,53,5
Barack Obama,07/06/2014 ,07/08/2014 ,42,54,4
Barack Obama,07/05/2014 ,07/07/2014 ,44,51,5
Barack Obama,07/03/2014 ,07/06/2014 ,44,52,4
Barack Obama,07/02/2014 ,07/05/2014 ,45,51,4
Barack Obama,07/01/2014 ,07/03/2014 ,43,52,5
Barack Obama,06/30/2014 ,07/02/2014 ,41,53,6
Barack Obama,06/29/2014 ,07/01/2014 ,40,54,6
Barack Obama,06/28/2014 ,06/30/2014 ,41,53,6
Barack Obama,06/27/2014 ,06/29/2014 ,42,52,6
Barack Obama,06/26/2014 ,06/28/2014 ,43,51,6
Barack Obama,06/25/2014 ,06/27/2014 ,43,51,6
Barack Obama,06/24/2014 ,06/26/2014 ,42,52,6
Barack Obama,06/23/2014 ,06/25/2014 ,42,52,6
Barack Obama,06/22/2014 ,06/24/2014 ,42,53,5
Barack Obama,06/21/2014 ,06/23/2014 ,42,53,5
Barack Obama,06/20/2014 ,06/22/2014 ,40,55,5
Barack Obama,06/19/2014 ,06/21/2014 ,41,54,5
Barack Obama,06/18/2014 ,06/20/2014 ,40,54,6
Barack Obama,06/17/2014 ,06/19/2014 ,41,54,5
Barack Obama,06/16/2014 ,06/18/2014 ,41,55,4
Barack Obama,06/15/2014 ,06/17/2014 ,41,54,5
Barack Obama,06/14/2014 ,06/16/2014 ,41,53,6
Barack Obama,06/13/2014 ,06/15/2014 ,41,53,6
Barack Obama,06/12/2014 ,06/14/2014 ,40,55,5
Barack Obama,06/11/2014 ,06/13/2014 ,41,54,5
Barack Obama,06/10/2014 ,06/12/2014 ,43,51,6
Barack Obama,06/09/2014 ,06/11/2014 ,45,49,6
Barack Obama,06/08/2014 ,06/10/2014 ,46,47,7
Barack Obama,06/07/2014 ,06/09/2014 ,44,50,6
Barack Obama,06/06/2014 ,06/08/2014 ,45,49,6
Barack Obama,06/05/2014 ,06/07/2014 ,43,51,6
Barack Obama,06/04/2014 ,06/06/2014 ,44,50,6
Barack Obama,06/02/2014 ,06/05/2014 ,43,51,6
Barack Obama,06/01/2014 ,06/04/2014 ,43,51,6
Barack Obama,05/31/2014 ,06/02/2014 ,43,52,5
Barack Obama,05/30/2014 ,06/01/2014 ,44,51,5
Barack Obama,05/29/2014 ,05/31/2014 ,44,52,4
Barack Obama,05/28/2014 ,05/30/2014 ,44,52,4
Barack Obama,05/27/2014 ,05/29/2014 ,45,51,4
Barack Obama,05/26/2014 ,05/28/2014 ,45,50,5
Barack Obama,05/25/2014 ,05/27/2014 ,45,50,5
Barack Obama,05/24/2014 ,05/26/2014 ,44,52,4
Barack Obama,05/23/2014 ,05/25/2014 ,44,52,4
Barack Obama,05/22/2014 ,05/24/2014 ,42,54,4
Barack Obama,05/21/2014 ,05/23/2014 ,44,51,5
Barack Obama,05/20/2014 ,05/22/2014 ,44,51,5
Barack Obama,05/19/2014 ,05/21/2014 ,45,49,6
Barack Obama,05/18/2014 ,05/20/2014 ,42,52,6
Barack Obama,05/17/2014 ,05/19/2014 ,42,53,5
Barack Obama,05/16/2014 ,05/18/2014 ,43,52,5
Barack Obama,05/15/2014 ,05/17/2014 ,44,51,5
Barack Obama,05/14/2014 ,05/16/2014 ,46,48,6
Barack Obama,05/13/2014 ,05/15/2014 ,44,49,7
Barack Obama,05/12/2014 ,05/14/2014 ,44,50,6
Barack Obama,05/11/2014 ,05/13/2014 ,45,49,6
Barack Obama,05/10/2014 ,05/12/2014 ,46,49,5
Barack Obama,05/09/2014 ,05/11/2014 ,44,50,6
Barack Obama,05/08/2014 ,05/10/2014 ,45,50,5
Barack Obama,05/07/2014 ,05/09/2014 ,45,50,5
Barack Obama,05/06/2014 ,05/08/2014 ,47,48,5
Barack Obama,05/05/2014 ,05/07/2014 ,44,51,5
Barack Obama,05/04/2014 ,05/06/2014 ,45,50,5
Barack Obama,05/03/2014 ,05/05/2014 ,43,52,5
Barack Obama,05/02/2014 ,05/04/2014 ,44,51,5
Barack Obama,05/01/2014 ,05/03/2014 ,42,53,5
Barack Obama,04/30/2014 ,05/02/2014 ,43,51,6
Barack Obama,04/29/2014 ,05/01/2014 ,45,49,6
Barack Obama,04/28/2014 ,04/30/2014 ,46,49,5
Barack Obama,04/27/2014 ,04/29/2014 ,43,52,5
Barack Obama,04/26/2014 ,04/28/2014 ,44,52,4
Barack Obama,04/25/2014 ,04/27/2014 ,43,52,5
Barack Obama,04/24/2014 ,04/26/2014 ,45,50,5
Barack Obama,04/23/2014 ,04/25/2014 ,44,51,5
Barack Obama,04/22/2014 ,04/24/2014 ,44,50,6
Barack Obama,04/21/2014 ,04/23/2014 ,45,49,6
Barack Obama,04/19/2014 ,04/22/2014 ,45,49,6
Barack Obama,04/18/2014 ,04/21/2014 ,46,48,6
Barack Obama,04/17/2014 ,04/19/2014 ,45,49,6
Barack Obama,04/16/2014 ,04/18/2014 ,45,49,6
